,day,month,year,team1,goal1,goal2,team2
373,10,10,19,North Macedonia,2,1,Slovenia
374,09,09,19,Latvia,0,2,North Macedonia
375,05,09,19,Israel,1,1,North Macedonia
376,10,06,19,North Macedonia,1,4,Austria
377,07,06,19,North Macedonia,0,1,Poland
378,24,03,19,Slovenia,1,1,North Macedonia
379,21,03,19,North Macedonia,3,1,Latvia
380,19,11,18,North Macedonia,4,0,Gibraltar
381,16,11,18,Liechtenstein,0,2,North Macedonia
382,16,10,18,Armenia,4,0,North Macedonia
383,13,10,18,North Macedonia,4,1,Liechtenstein
384,09,09,18,North Macedonia,2,0,Armenia
385,06,09,18,Gibraltar,0,2,North Macedonia
386,27,03,18,Azerbaijan,1,1,North Macedonia
387,11,08,10,Ukraine,1,1,Netherlands
388,24,05,08,Netherlands,3,0,Ukraine
389,06,06,21,Netherlands,3,0,Georgia
390,02,06,21,Netherlands,2,2,Scotland
391,30,03,21,Gibraltar,0,7,Netherlands
392,27,03,21,Netherlands,2,0,Latvia
393,24,03,21,Turkey,4,2,Netherlands
394,18,11,20,Poland,1,2,Netherlands
395,15,11,20,Netherlands,3,1,Bosnia & Herzegovina
396,11,11,20,Netherlands,1,1,Spain
397,14,10,20,Italy,1,1,Netherlands
398,11,10,20,Bosnia & Herzegovina,0,0,Netherlands
399,07,10,20,Netherlands,0,1,Mexico
400,07,09,20,Netherlands,0,1,Italy
401,04,09,20,Netherlands,1,0,Poland
402,19,11,19,Netherlands,5,0,Estonia
403,16,11,19,Northern Ireland,0,0,Netherlands
404,13,10,19,Belarus,1,2,Netherlands
405,10,10,19,Netherlands,3,1,Northern Ireland
406,09,09,19,Estonia,0,4,Netherlands
407,06,09,19,Germany,2,4,Netherlands
408,09,06,19,Portugal,1,0,Netherlands
409,06,06,19,Netherlands,3,1,England
410,24,03,19,Netherlands,2,3,Germany
411,21,03,19,Netherlands,4,0,Belarus
412,19,11,18,Germany,2,2,Netherlands
413,16,11,18,Netherlands,2,0,France
414,16,10,18,Belgium,1,1,Netherlands
415,13,10,18,Netherlands,3,0,Germany
416,09,09,18,France,2,1,Netherlands
417,06,09,18,Netherlands,2,1,Peru
418,04,06,18,Italy,1,1,Netherlands
419,07,06,21,Ukraine,4,0,Cyprus
420,03,06,21,Ukraine,1,0,Northern Ireland
421,23,05,21,Ukraine,1,1,Bahrain
422,31,03,21,Ukraine,1,1,Kazakhstan
423,28,03,21,Ukraine,1,1,Finland
424,24,03,21,France,1,1,Ukraine
425,14,11,20,Germany,3,1,Ukraine
426,11,11,20,Poland,2,0,Ukraine
427,13,10,20,Ukraine,1,0,Spain
428,10,10,20,Ukraine,1,2,Germany
429,07,10,20,France,7,1,Ukraine
430,06,09,20,Spain,4,0,Ukraine
431,03,09,20,Ukraine,2,1,Switzerland
432,17,11,19,Serbia,2,2,Ukraine
433,14,11,19,Ukraine,1,0,Estonia
434,14,10,19,Ukraine,2,1,Portugal
435,11,10,19,Ukraine,2,0,Lithuania
436,10,09,19,Ukraine,2,2,Nigeria
437,07,09,19,Lithuania,0,3,Ukraine
438,10,06,19,Ukraine,1,0,Luxembourg
439,07,06,19,Ukraine,5,0,Serbia
440,25,03,19,Luxembourg,1,2,Ukraine
441,22,03,19,Portugal,0,0,Ukraine
442,20,11,18,Turkey,0,0,Ukraine
443,16,11,18,Slovakia,4,1,Ukraine
444,16,10,18,Ukraine,1,0,Czech Republic
445,10,10,18,Italy,1,1,Ukraine
446,09,09,18,Ukraine,1,0,Slovakia
447,06,09,18,Czech Republic,1,2,Ukraine
448,14,10,20,Scotland,1,0,Czech Republic
449,07,09,20,Czech Republic,1,2,Scotland
450,24,03,16,Czech Republic,0,1,Scotland
451,03,09,11,Scotland,2,2,Czech Republic
452,08,10,10,Czech Republic,1,0,Scotland
453,03,03,10,Scotland,1,0,Czech Republic
454,06,06,21,Luxembourg,0,1,Scotland
455,02,06,21,Netherlands,2,2,Scotland
456,31,03,21,Scotland,4,0,Faroe Islands
457,28,03,21,Israel,1,1,Scotland
458,25,03,21,Scotland,2,2,Austria
459,18,11,20,Israel,1,0,Scotland
460,15,11,20,Slovakia,1,0,Scotland
461,12,11,20,Serbia,4,5,Scotland
462,14,10,20,Scotland,1,0,Czech Republic
463,11,10,20,Scotland,1,0,Slovakia
464,08,10,20,Scotland,5,3,Israel
465,07,09,20,Czech Republic,1,2,Scotland
466,04,09,20,Scotland,1,1,Israel
467,19,11,19,Scotland,3,1,Kazakhstan
468,16,11,19,Cyprus,1,2,Scotland
469,13,10,19,Scotland,6,0,San Marino
470,10,10,19,Russia,4,0,Scotland
471,09,09,19,Scotland,0,4,Belgium
472,06,09,19,Scotland,1,2,Russia
473,11,06,19,Belgium,3,0,Scotland
474,08,06,19,Scotland,2,1,Cyprus
475,24,03,19,San Marino,0,2,Scotland
476,21,03,19,Kazakhstan,3,0,Scotland
477,20,11,18,Scotland,3,2,Israel
478,17,11,18,Albania,0,4,Scotland
479,14,10,18,Scotland,1,3,Portugal
480,11,10,18,Israel,2,1,Scotland
481,10,09,18,Scotland,2,0,Albania
482,07,09,18,Scotland,0,4,Belgium
483,03,06,18,Mexico,1,0,Scotland
484,08,06,21,Czech Republic,3,1,Albania
485,04,06,21,Italy,4,0,Czech Republic
486,30,03,21,Wales,1,0,Czech Republic
487,27,03,21,Czech Republic,1,1,Belgium
488,24,03,21,Estonia,2,6,Czech Republic
489,18,11,20,Czech Republic,2,0,Slovakia
490,15,11,20,Czech Republic,1,0,Israel
491,11,11,20,Germany,1,0,Czech Republic
492,14,10,20,Scotland,1,0,Czech Republic
493,11,10,20,Israel,1,2,Czech Republic
494,07,10,20,Cyprus,1,2,Czech Republic
495,07,09,20,Czech Republic,1,2,Scotland
496,04,09,20,Slovakia,1,3,Czech Republic
497,17,11,19,Bulgaria,1,0,Czech Republic
498,14,11,19,Czech Republic,2,1,Kosovo
499,14,10,19,Czech Republic,2,3,Northern Ireland
500,11,10,19,Czech Republic,2,1,England
501,10,09,19,Montenegro,0,3,Czech Republic
502,07,09,19,Kosovo,2,1,Czech Republic
503,10,06,19,Czech Republic,3,0,Montenegro
504,07,06,19,Czech Republic,2,1,Bulgaria
505,26,03,19,Czech Republic,1,3,Brazil
506,22,03,19,England,5,0,Czech Republic
507,19,11,18,Czech Republic,1,0,Slovakia
508,15,11,18,Poland,0,1,Czech Republic
509,16,10,18,Ukraine,1,0,Czech Republic
510,13,10,18,Slovakia,1,2,Czech Republic
511,10,09,18,Russia,5,1,Czech Republic
512,06,09,18,Czech Republic,1,2,Ukraine
513,06,06,18,Czech Republic,1,0,Nigeria
514,15,11,13,Poland,0,2,Slovakia
515,26,05,12,Poland,1,0,Slovakia
516,14,10,09,Poland,0,1,Slovakia
517,15,10,08,Slovakia,2,1,Poland
518,07,02,07,Poland,2,2,Slovakia
519,11,10,95,Slovakia,4,1,Poland
520,08,06,21,Poland,2,2,Iceland
521,01,06,21,Poland,1,1,Russia
522,31,03,21,England,2,1,Poland
